Exch_Name,Point,boundary
29th Avenue,"[-123.045944, 49.244203]",Renfrew-Collingwood
Boundary,"[-123.025191, 49.265474]",Hastings-Sunrise
Broadway-City Hall,"[-123.114815, 49.262731]",Fairview
Burrard,"[-123.119346, 49.285628]",Downtown
Commercial-Broadway,"[-123.068793, 49.262418]",Grandview-Woodland
Dunbar,"[-123.185596, 49.234709]",Dunbar-Southlands
Granville,"[-123.115675, 49.28317]",Downtown
Joyce-Collingwood,"[-123.031806, 49.238405]",Renfrew-Collingwood
King Edward,"[-123.115027, 49.248556]",Riley Park
Knight Street-Marine Drive,"[-123.075604, 49.211099]",Victoria-Fraserview
Kootenay,"[-123.026275, 49.28129]",Hastings-Sunrise
Langara-49th Avenue,"[-123.116569, 49.225737]",Oakridge
Main Street-Science World,"[-123.100344, 49.273152]",Downtown
Marine Drive,"[-123.117073, 49.209785]",Marpole
Marpole,"[-123.133159, 49.203212]",Marpole
Nanaimo,"[-123.05572, 49.248243]",Renfrew-Collingwood
NightBus District,"[-123.117092, 49.284537]",Downtown
Oakridge-41st Avenue,"[-123.116271, 49.232943]",Oakridge
Olympic Village,"[-123.114801, 49.26657]",Fairview
Renfrew,"[-123.045286, 49.25893]",Renfrew-Collingwood
Rupert,"[-123.032865, 49.26076]",Renfrew-Collingwood
Stadium-Chinatown,"[-123.109171, 49.279293]",Downtown
VCC-Clark,"[-123.078798, 49.265767]",Strathcona
Vancouver City Centre,"[-123.118192, 49.282419]",Downtown
Waterfront,"[-123.113122, 49.286603]",Downtown
Yaletown-Roundhouse,"[-123.122014, 49.274577]",Downtown
